1702400967.928968 client started (30830): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1702400967.929141 on Darwin 23.2.0 Darwin Kernel Version 23.2.0: Wed Nov 15 21:53:18 PST 2023; root:xnu-10002.61.3~2/RELEASE_ARM64_T6000
1702400967.930660 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1702400967.933986 sending message 105 to peer 0x128048000 (54 bytes)
1702400967.933991 sending message 105 to peer 0x128048000 (19 bytes)
1702400967.933995 sending message 105 to peer 0x128048000 (33 bytes)
1702400967.934000 sending message 105 to peer 0x128048000 (20 bytes)
1702400967.934004 sending message 105 to peer 0x128048000 (22 bytes)
1702400967.934009 sending message 105 to peer 0x128048000 (12 bytes)
1702400967.934013 sending message 105 to peer 0x128048000 (28 bytes)
1702400967.934018 sending message 105 to peer 0x128048000 (60 bytes)
1702400967.934022 sending message 105 to peer 0x128048000 (19 bytes)
1702400967.934027 sending message 105 to peer 0x128048000 (56 bytes)
1702400967.934031 sending message 105 to peer 0x128048000 (13 bytes)
1702400967.934036 sending message 105 to peer 0x128048000 (15 bytes)
1702400967.934040 sending message 105 to peer 0x128048000 (15 bytes)
1702400967.934045 sending message 105 to peer 0x128048000 (54 bytes)
1702400967.934050 sending message 105 to peer 0x128048000 (12 bytes)
1702400967.934054 sending message 105 to peer 0x128048000 (58 bytes)
1702400967.934059 sending message 105 to peer 0x128048000 (158 bytes)
1702400967.934063 sending message 105 to peer 0x128048000 (50 bytes)
1702400967.934068 sending message 105 to peer 0x128048000 (45 bytes)
1702400967.934072 sending message 105 to peer 0x128048000 (30 bytes)
1702400967.934077 sending message 105 to peer 0x128048000 (21 bytes)
1702400967.934091 sending message 105 to peer 0x128048000 (1354 bytes)
1702400967.934096 sending message 105 to peer 0x128048000 (42 bytes)
1702400967.934101 sending message 105 to peer 0x128048000 (45 bytes)
1702400967.934105 sending message 105 to peer 0x128048000 (33 bytes)
1702400967.934110 sending message 105 to peer 0x128048000 (46 bytes)
1702400967.934114 sending message 105 to peer 0x128048000 (55 bytes)
1702400967.934119 sending message 105 to peer 0x128048000 (33 bytes)
1702400967.934123 sending message 105 to peer 0x128048000 (28 bytes)
1702400967.934128 sending message 105 to peer 0x128048000 (22 bytes)
1702400967.934132 sending message 105 to peer 0x128048000 (24 bytes)
1702400967.934137 sending message 105 to peer 0x128048000 (15 bytes)
1702400967.934141 sending message 105 to peer 0x128048000 (8 bytes)
1702400967.934146 sending message 105 to peer 0x128048000 (66 bytes)
1702400967.934150 sending message 105 to peer 0x128048000 (38 bytes)
1702400967.934154 sending message 105 to peer 0x128048000 (19 bytes)
1702400967.934159 sending message 105 to peer 0x128048000 (21 bytes)
1702400967.934163 sending message 105 to peer 0x128048000 (18 bytes)
1702400967.934168 sending message 105 to peer 0x128048000 (26 bytes)
1702400967.934172 sending message 105 to peer 0x128048000 (57 bytes)
1702400967.934177 sending message 105 to peer 0x128048000 (42 bytes)
1702400967.934181 sending message 105 to peer 0x128048000 (13 bytes)
1702400967.934185 sending message 105 to peer 0x128048000 (61 bytes)
1702400967.934190 sending message 105 to peer 0x128048000 (12 bytes)
1702400967.934194 sending message 105 to peer 0x128048000 (20 bytes)
1702400967.934199 sending message 105 to peer 0x128048000 (36 bytes)
1702400967.934203 sending message 105 to peer 0x128048000 (38 bytes)
1702400967.934208 sending message 105 to peer 0x128048000 (41 bytes)
1702400967.934212 sending message 105 to peer 0x128048000 (14 bytes)
1702400967.934217 sending message 105 to peer 0x128048000 (19 bytes)
1702400967.934221 sending message 105 to peer 0x128048000 (34 bytes)
1702400967.934226 sending message 105 to peer 0x128048000 (35 bytes)
1702400967.934230 sending message 105 to peer 0x128048000 (32 bytes)
1702400967.934234 sending message 105 to peer 0x128048000 (17 bytes)
1702400967.934239 sending message 105 to peer 0x128048000 (25 bytes)
1702400967.934243 sending message 106 to peer 0x128048000 (0 bytes)
1702400967.934337 sending message 200 to peer 0x128048000 (4 bytes)
1702400967.934344 client loop enter
1702400967.934539 peer 0x128048000 message 303
1702400967.934548 open write file 2 -
1702400967.934571 sending message 305 to peer 0x128048000 (8 bytes)
1702400967.934589 write check file 2
1702400967.934637 peer 0x128048000 message 304
1702400967.934648 write 58 to file 2
1702400967.934656 peer 0x128048000 message 203
1702400967.934661 file 2 58 bytes left
1702400967.934682 write check file 2
1702400967.934698 client loop exit
